id,titulo,anio,duracion,genero,plataforma,estreno_cine,actores,directores,votos,puntuacion,poster_url
968051,La monja II,2023,110,Terror,New Line Cinema,2023-09-06,"Taissa Farmiga, Jonas Bloquet, Storm Reid",Michael Chaves,2205,6.707,https://image.tmdb.org/t/p/w500/hbP1KNvyNX8av2sVsOix1za9T4C.jpg
466420,Los asesinos de la luna,2023,206,"Crimen, Historia, Drama",Apple Studios,2023-10-18,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone",Martin Scorsese,3659,7.426,https://image.tmdb.org/t/p/w500/gKsOy5rO5vuzmUyGeDXcfZo94lo.jpg
792307,Pobres criaturas,2023,141,"Ciencia ficción, Romance, Comedia",Searchlight Pictures,2023-12-07,"Emma Stone, Mark Ruffalo, Willem Dafoe",Giórgos Lánthimos,4802,7.684,https://image.tmdb.org/t/p/w500/9OYMVcP2zyw0zpWOTuxlDo2MsMw.jpg
753342,Napoleón,2023,158,"Historia, Bélica, Romance",Apple Studios,2023-11-22,"Joaquin Phoenix, Vanessa Kirby, Tahar Rahim",Ridley Scott,2770,6.347,https://image.tmdb.org/t/p/w500/opn1o3OClYWOHgsJ0QWA74ytwBx.jpg
695721,Los Juegos del Hambre: Balada de pájaros cantores y serpientes,2023,157,"Drama, Ciencia ficción, Aventura, Acción",Lionsgate,2023-11-15,"Tom Blyth, Rachel Zegler, Peter Dinklage",Francis Lawrence,3096,7.01,https://image.tmdb.org/t/p/w500/lQS3Owbte49Mkz5nFach4UgSZDF.jpg
335977,Indiana Jones y el dial del destino,2023,155,"Aventura, Acción",Lucasfilm Ltd.,2023-06-25,"Harrison Ford, Phoebe Waller-Bridge, Mads Mikkelsen",James Mangold,3707,6.547,https://image.tmdb.org/t/p/w500/3Sj5ubQ0BLXd6JuECq52Ira8Oor.jpg
1135850,STW,2023,26,"Drama, Romance",Kelas Bintang,2023-04-30,,,1,10.0,https://image.tmdb.org/t/p/w500/zKxhwCiCf9W9fFzVsZlQJzvFkQH.jpg
893723,La Patrulla Canina: La superpelícula,2023,87,"Familia, Comedia, Aventura, Animación",Nickelodeon Movies,2023-09-21,"Mckenna Grace, Taraji P. Henson, Marsai Martin",Cal Brunker,497,7.0,https://image.tmdb.org/t/p/w500/74UljzdgFuYo0BqzuEO2s2azObe.jpg
493529,Dungeons & Dragons: Honor entre ladrones,2023,134,"Aventura, Fantasía, Comedia",Entertainment One,2023-03-23,"Chris Pine, Michelle Rodríguez, Justice Smith","John Francis Daley, Jonathan Goldstein",4043,7.341,https://image.tmdb.org/t/p/w500/77XBzUUFX5aHI3Jz3ipJTtsDWzk.jpg
713704,Posesión infernal: El despertar,2023,96,"Terror, Suspense",New Line Cinema,2023-04-12,"Lily Sullivan, Alyssa Sutherland, Morgan Davies",Lee Cronin,3305,6.936,https://image.tmdb.org/t/p/w500/ioMtng0qHbwNjR1fuxYZsRf1kjm.jpg
940721,Godzilla Minus One,2023,124,"Ciencia ficción, Terror, Acción",TOHO,2023-11-03,"Ryunosuke Kamiki, 浜辺美波, 山田裕貴",Takashi Yamazaki,2703,7.6,https://image.tmdb.org/t/p/w500/AjbaIWNKMkXF7I29n20f7rYsEki.jpg
1008042,Háblame,2023,95,Terror,Causeway Films,2023-07-26,"Sophie Wilde, Alexandra Jensen, Joe Bird","Michael Philippou, Danny Philippou",3263,7.159,https://image.tmdb.org/t/p/w500/nfY0LdXZzggFKfjhyHVEHZfO484.jpg
1138749,The Island,2023,93,"Acción, Crimen, Suspense",MSR Media SKN,2023-07-21,"Michael Jai White, Jackson Rathbone, Gillian White",Shaun Paul Piccinino,89,6.197,https://image.tmdb.org/t/p/w500/l3ysmDejyuh4DKZYhY09R2e6StD.jpg
930094,"Rojo, blanco y sangre azul",2023,121,"Comedia, Romance",Amazon Studios,2023-07-27,"Taylor Zakhar Perez, Nicholas Galitzine, Uma Thurman",Matthew López,1387,8.0,https://image.tmdb.org/t/p/w500/5XGt6CpWpkGnGOrrjfOMhNzDDSS.jpg
882569,El pacto,2023,123,"Bélica, Acción, Suspense",STXfilms,2023-04-19,"Jake Gyllenhaal, Dar Salim, Sean Sagar",Guy Ritchie,2788,7.75,https://image.tmdb.org/t/p/w500/nq7NbZtNfIHyL1NXPV1EiG4XQ7u.jpg
640146,Ant-Man y la Avispa: Quantumanía,2023,125,"Acción, Aventura, Ciencia ficción",Marvel Studios,2023-02-15,"Paul Rudd, Evangeline Lilly, Michael Douglas",Peyton Reed,5325,6.277,https://image.tmdb.org/t/p/w500/lKHy0ntGPdQeFwvNq8gK1D0anEr.jpg
1090007,First Shift,2024,89,"Crimen, Suspense, Acción",Event Filmproduktion,2024-08-30,"Gino Anthony Pesi, Kristen Renton, James McMenamin",Uwe Boll,26,5.615,https://image.tmdb.org/t/p/w500/ajsGI4JYaciPIe3gPgiJ3Vw5Vre.jpg
1311844,The Twisters,2024,87,"Acción, Aventura, Drama",Atomic Blonde Entertainment,2024-06-28,"Tiffany, Mark Justice, Kayla Fields",Michael Su,49,5.888,https://image.tmdb.org/t/p/w500/8OP3h80BzIDgmMNANVaYlQ6H4Oc.jpg
605722,Larga Distancia,2024,87,"Ciencia ficción, Comedia, Acción",DreamWorks Pictures,2024-07-12,"Anthony Ramos, Naomi Scott, Kristofer Hivju","Will Speck, Josh Gordon",148,6.389,https://image.tmdb.org/t/p/w500/reDAdPDDZs5diNTef6UNuRwHomW.jpg
1442776,Guerra de mutantes,2024,75,"Acción, Suspense, Terror",N/A,2024-03-27,Sammy Sum,Cecil Man Ching Cheng,20,6.25,https://image.tmdb.org/t/p/w500/nimnvsGwgJBPnsRrmdlIDi2Yhbn.jpg
